Date : 2021-01-22 19:42:17
Directory : c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc
Total : 161 files,  47764 codes, 103 comments, 2722 blanks, all 50589 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          6 |     30,297 |          0 |          3 |     30,300 |
| Log              |          1 |     10,467 |          0 |      1,553 |     12,020 |
| JavaScript       |         49 |      3,347 |         26 |        563 |      3,936 |
| JavaScript React |         42 |      2,739 |         38 |        418 |      3,195 |
| XML              |         58 |        395 |          8 |         49 |        452 |
| SCSS             |          1 |        251 |          0 |         69 |        320 |
| CSS              |          2 |        210 |          8 |         33 |        251 |
| Markdown         |          1 |         38 |          0 |         33 |         71 |
| HTML             |          1 |         20 |         23 |          1 |         44 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        161 |     47,764 |        103 |      2,722 |     50,589 |
| .idea                                                                                                        |          7 |         48 |          0 |          0 |         48 |
| .idea\codeStyles                                                                                             |          1 |          5 |          0 |          0 |          5 |
| .idea\inspectionProfiles                                                                                     |          2 |         11 |          0 |          0 |         11 |
| public                                                                                                       |          3 |         49 |         31 |          4 |         84 |
| src                                                                                                          |        148 |     37,106 |         72 |      1,132 |     38,310 |
| src\assets                                                                                                   |         46 |        571 |          0 |        110 |        681 |
| src\assets\css                                                                                               |          1 |        251 |          0 |         69 |        320 |
| src\assets\icons                                                                                             |         25 |        118 |          0 |         22 |        140 |
| src\assets\images                                                                                            |         17 |        173 |          0 |         17 |        190 |
| src\assets\logo                                                                                              |          2 |         28 |          0 |          2 |         30 |
| src\components                                                                                               |         13 |      1,285 |         11 |        204 |      1,500 |
| src\components\common                                                                                        |          9 |      1,128 |          6 |        175 |      1,309 |
| src\config                                                                                                   |          1 |          9 |          0 |          2 |         11 |
| src\hooks                                                                                                    |          2 |         48 |          5 |         11 |         64 |
| src\pages                                                                                                    |         63 |      4,293 |         45 |        665 |      5,003 |
| src\pages\ApplySale                                                                                          |          8 |        563 |          3 |        103 |        669 |
| src\pages\CertifiedSales                                                                                     |         12 |        719 |          3 |        122 |        844 |
| src\pages\CertifiedSales\Detail                                                                              |          2 |         12 |          0 |          4 |         16 |
