"filename", "language", "Markdown", "JavaScript", "XML", "CSS", "HTML", "SCSS", "JSON", "JavaScript React", "Log", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\bounce-kyc.iml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\misc.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\package.json", "JSON", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 56
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 23, 1, 44
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\public\logo.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 2, 14
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\App.css", "CSS", 0, 0, 0, 185, 0, 0, 0, 0, 0, 8, 29, 222
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\App.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\Font.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\bounce-loading.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\css\_modal.scss", "SCSS", 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 69, 320
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\checkbox.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\close.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\copy-black.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\copy-white.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\down.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\facebook.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\github.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
